"Short Query Text","Execution Count","Total Logical Reads","Avg Logical Reads","Total Worker Time","Avg Worker Time","Total Elapsed Time","Avg Elapsed Time","Has Missing Index","Creation Time"
"select distinct OBJECT_NAME(sf.object_id),sf.objec","78","8892","114","328749","4214","334462","4287","0","12/11/2025 11:53:08 AM"
"(@1 nvarchar(4000))SELECT [name] [name],databasepr","29","3248","112","13190","454","13193","454","0","12/11/2025 2:22:25 PM"
"select ISNULL(CAST(page_verify_option AS int), -3)","29","204","7","8733","301","8736","301","0","12/11/2025 2:22:25 PM"
"select top 1 substring(convert(nvarchar(22),backup","29","350204","12076","2724328","93942","1112888","38375","0","12/11/2025 2:22:25 PM"
"select data_space_id, reservedpages = sum(a.total_","29","34307","1183","204150","7039","206721","7128","0","12/11/2025 2:22:25 PM"
"Select SUM( fileproperty(name, 'SpaceUsed')) From ","29","174","6","6931","239","6935","239","0","12/11/2025 2:22:25 PM"
"select data_space_id, SUM(CONVERT(dec(15),size)) f","29","58","2","2974","102","2977","102","0","12/11/2025 2:22:25 PM"
"select ISNULL(CAST(is_read_only AS int), -3) AS is","29","320","11","11740","404","11745","405","0","12/11/2025 2:22:25 PM"
"select ISNULL(mirroring_role,0) from sys.database_","29","58","2","1701","58","1704","58","0","12/11/2025 2:22:25 PM"
"select count(*) from ""KHTT_ST22"".sys.objects   whe","29","1653","57","75350","2598","75354","2598","0","12/11/2025 2:22:25 PM"
"select ISNULL(low, -3) AS low from master.dbo.spt_","29","58","2","2422","83","2426","83","0","12/11/2025 2:22:25 PM"
"select name, dbid, chsuid=substring(suser_sname(si","29","58","2","3911","134","3914","134","0","12/11/2025 2:22:25 PM"
"select file_id, file_guid, size, max_size, growth,","29","58","2","6558","226","6562","226","0","12/11/2025 2:22:25 PM"
"select physical_name, 'usage' = (case type when 1 ","29","58","2","2280","78","2284","78","0","12/11/2025 2:22:25 PM"
