"Schema Name","Object Name","index_id","Buffer size(MB)","BufferCount","Row Count","Compression Type"
"dbo","CTPhatSinh","1","17.95","2298","6074029","NONE"
"dbo","TNDSERV16","1","11.71","1499","8149206","NONE"
"dbo","TNDSERV10","1","10.84","1388","9779027","NONE"
"dbo","TNDSERV12","1","10.73","1374","7240689","NONE"
"dbo","TNDSERV14","1","7.91","1012","7961927","NONE"
"dbo","TNDSERV15","1","7.84","1003","8572761","NONE"
"dbo","TNDSERV13","1","5.93","759","5085971","NONE"
"dbo","TichLuyTrongNgay","1","5.59","715","3693563","NONE"
"dbo","KhachHang","1","5.58","714","3317508","NONE"
"dbo","TNDSERV11","1","5.08","650","4576879","NONE"
"dbo","CTPhatSinh03","1","4.64","594","963090","NONE"
"dbo","CTPhatSinh06","1","4.28","548","937533","NONE"
"dbo","CTPhieuQT","1","3.99","511","625932","NONE"
"dbo","CTPhatSinh","2","3.58","458","6074029","NONE"
"dbo","CTPhatSinh01","1","3.41","437","813749","NONE"
"dbo","TNDSERV17","1","3.41","436","2778506","NONE"
"dbo","CTPhatSinh03","2","3.34","428","963090","NONE"
"dbo","CTPhatSinh04","1","3.28","420","965562","NONE"
"dbo","LichSuCapTheTT","1","2.77","354","4167797","NONE"
"dbo","ChiThuongCuoiNam","1","2.76","353","2482186","NONE"
"dbo","CTNhanThuong","1","2.68","343","1333883","NONE"
"dbo","CTPhatSinh05","1","2.30","294","969226","NONE"
"dbo","TichLuy","1","2.23","286","3693564","NONE"
"dbo","KhachHang","5","2.11","270","3317508","NONE"
"dbo","KhachHang","3","2.04","261","3317508","NONE"
"dbo","Coupon","1","2.01","257","815338","NONE"
"dbo","The","1","1.93","247","3693563","NONE"
"dbo","KhachHang","7","1.84","235","3317508","NONE"
"dbo","INVTSERV11","1","1.80","230","118241","NONE"
"dbo","CTPhatSinh05","2","1.78","228","969226","NONE"
"dbo","CTPhatSinh02","1","1.67","214","835420","NONE"
"dbo","INVTSERV14","1","1.48","190","214393","NONE"
"dbo","CTPhatSinh04","2","1.41","181","965562","NONE"
"dbo","CTPhatSinh06","2","1.19","152","937533","NONE"
"dbo","The","3","1.17","150","3693563","NONE"
"dbo","KhachHang","6","1.12","143","3317508","NONE"
"dbo","KhachHang","8","1.05","135","3317508","NONE"
"dbo","Coupon","3","0.98","125","815338","NONE"
"dbo","INVTSERV10","1","0.94","120","287488","NONE"
"dbo","CTPhatSinh02","2","0.91","116","835420","NONE"
"dbo","INVTSERV12","1","0.78","100","191926","NONE"
"dbo","Coupon","2","0.68","87","815338","NONE"
"dbo","TichLuyTrongNgay","2","0.68","87","3693563","NONE"
"dbo","INVTSERV15","1","0.62","79","243508","NONE"
"dbo","KhachHang","4","0.56","72","3317508","NONE"
"dbo","CTPhatSinh01","2","0.56","72","813749","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS","1","0.46","59","43036","NONE"
"dbo","CTNhanThuongTrongNgay","1","0.43","55","49069","NONE"
"dbo","CTTichLuy","1","0.39","50","85352","NONE"
"dbo","INVTSERV16","1","0.38","48","225581","NONE"
"dbo","INVTSERV17","1","0.38","48","99220","NONE"
"dbo","TichLuy","2","0.38","48","3693564","NONE"
"dbo","INVTSERV13","1","0.37","47","130961","NONE"
"dbo","KhachHang","2","0.36","46","3317508","NONE"
"dbo","The","2","0.34","44","3693563","NONE"
"dbo","CTPhatSinh_KhuyenMai","1","0.30","39","71787","NONE"
"dbo","LichSuThayDoiSieuThi","1","0.30","39","88784","NONE"
"dbo","History_KhachHang","1","0.30","39","23239","NONE"
"dbo","Sync","1","0.28","36","83390","NONE"
"dbo","CTQuyenNhanVien","1","0.18","23","51075","NONE"
"dbo","CTPhatSinh_KhuyenMai02","1","0.15","19","33350","NONE"
"dbo","CTTichLuy","2","0.10","13","85352","NONE"
"dbo","CTPhatSinh_KhuyenMai03","1","0.09","12","27794","NONE"
"dbo","LichSuCapTheST","0","0.09","12","165226","NONE"
"dbo","QuyenNhanVien","1","0.09","12","59903","NONE"
"dbo","UpdateList","1","0.09","11","38","NONE"
"dbo","History_KhachHang","2","0.08","10","23239","NONE"
"dbo","CTPhatSinh_KhuyenMai04","1","0.08","10","24709","NONE"
"dbo","History_INVTSERV12","0","0.06","8","6608005","NONE"
"dbo","History_INVTSERV10","0","0.06","8","6831792","NONE"
"dbo","CTPhatSinh_KhuyenMaiPOS","2","0.06","8","43036","NONE"
"dbo","History_INVTSERV11","0","0.05","7","6780462","NONE"
"dbo","History_INVTSERV06","0","0.05","7","6483614","NONE"
"dbo","History_INVTSERV07","0","0.05","7","8290495","NONE"
"dbo","NhanThuong_KhachHang","1","0.05","7","35431","NONE"
"dbo","History_INVTSERV08","0","0.05","6","6750427","NONE"
"dbo","History_INVTSERV09","0","0.04","5","8474999","NONE"
"dbo","History_INVTSERV04","0","0.04","5","8227909","NONE"
"dbo","History_INVTSERV05","0","0.04","5","6453783","NONE"
"dbo","History_INVTSERV02","0","0.04","5","5963142","NONE"
"dbo","INVTSERV_CFTAYNGUYEN_1411","0","0.04","5","182","NONE"
"dbo","NhanThuong","1","0.04","5","618","NONE"
"dbo","STAMPTRX_New_NoStoreID_170918","0","0.04","5","1369","NONE"
"dbo","History_KhachHang","7","0.04","5","23239","NONE"
"dbo","History_KhachHang","8","0.04","5","23239","NONE"
"dbo","NhanVien","1","0.04","5","2555","NONE"
"dbo","CTPhatSinh_KhuyenMai05","1","0.03","4","11707","NONE"
"dbo","History_KhachHang","3","0.03","4","23239","NONE"
"dbo","History_KhachHang","6","0.03","4","23239","NONE"
"dbo","History_TNDSERV07","0","0.03","4","2607167","NONE"
"dbo","History_TNDSERV08","0","0.03","4","2511124","NONE"
"dbo","History_TNDSERV09","0","0.03","4","1794650","NONE"
"dbo","History_TNDSERV10","0","0.03","4","2483561","NONE"
"dbo","History_TNDSERV12","0","0.03","4","2455935","NONE"
"dbo","CustomerList","0","0.03","4","45396","NONE"
"dbo","History_TNDSERV01","0","0.03","4","2054921","NONE"
"dbo","History_TNDSERV03","0","0.03","4","599814","NONE"
"dbo","History_INVTSERV03","0","0.03","4","6438092","NONE"
"dbo","History_INVTSERV01","0","0.03","4","5277277","NONE"
"dbo","History_TNDSERV06","0","0.02","3","9289969","NONE"
"dbo","STAMPTRX_New_BK_Bf011121","0","0.02","3","81760","NONE"
"dbo","History_TNDSERV11","0","0.02","3","1982352","NONE"
"dbo","History_TNDSERV05","0","0.02","3","1446830","NONE"
"dbo","CAMPGN","0","0.02","3","1","NONE"
"dbo","History_KhachHang","4","0.02","3","23239","NONE"
"dbo","History_KhachHang","5","0.02","3","23239","NONE"
"dbo","NhanThuong_SieuThi","1","0.02","3","1639","NONE"
"dbo","SGC_Attachment","1","0.02","3","9","NONE"
"dbo","SGC_DocumentDetail","1","0.02","3","219","NONE"
"dbo","CTPhatSinh_KhuyenMai03","2","0.02","3","27794","NONE"
"dbo","CTPhatSinh_KhuyenMai02","2","0.02","3","33350","NONE"
"dbo","NhanThuong_QuaTang_CapDo","1","0.02","2","276","NONE"
"dbo","SGC_ApplicationItem","1","0.02","2","53","NONE"
"dbo","CTKhuyenMai","1","0.02","2","164","NONE"
"dbo","INVTSERV0","1","0.02","2","232","NONE"
"dbo","GiftPromotion_ST","17","0.02","2","32","NONE"
"dbo","GiftPromotion_ST","18","0.02","2","32","NONE"
"dbo","GiftPromotion_ST","0","0.02","2","32","NONE"
"dbo","GiftPromotion_ST","14","0.02","2","32","NONE"
"dbo","STAMPTRX_New_BK_Bf082020","0","0.02","2","879833","NONE"
"dbo","CTQuyenNhomNhanVien","1","0.02","2","209","NONE"
"dbo","NhomNhanVien","1","0.02","2","17","NONE"
"dbo","DieuKienKhuyenMaiPOS","1","0.02","2","578","NONE"
"dbo","NhomNhanVien_DMQuyen","1","0.02","2","474","NONE"
"dbo","SGC_Feedback","1","0.02","2","51","NONE"
"dbo","CTNhomQuyen","1","0.02","2","141","NONE"
"dbo","STAMPTRX_New_BK_Bf260422_tichsao","0","0.02","2","64275","NONE"
"dbo","STAMPTRX_New_BK_Bf01092022_HangViet220825","0","0.02","2","3446","NONE"
"dbo","Xtra","0","0.02","2","46","NONE"
"dbo","CapDo","1","0.02","2","4","NONE"
"dbo","SieuThi","1","0.02","2","578","NONE"
"dbo","QuocGia","1","0.02","2","141","NONE"
"dbo","History_TNDSERV02","0","0.02","2","426242","NONE"
"dbo","CauHinhChietKhauPOS","1","0.02","2","1","NONE"
"dbo","STAMPTRX_New_BK_Bf220927","0","0.02","2","1221","NONE"
"dbo","CauHinhHeThong","1","0.02","2","1","NONE"
"dbo","ChiThuongCuoiNam_2021","0","0.02","2","2851398","NONE"
"dbo","STAMPTRX_New_BK_Bf221221_SongXanh","0","0.02","2","128219","NONE"
"dbo","CauHinhSKU_LoaiDMH","1","0.02","2","89","NONE"
"dbo","ChuongTrinh","1","0.02","2","1","NONE"
"dbo","STAMPTRX_New_BK_Bf150622","0","0.01","1","4127","NONE"
"dbo","CauHinhKetNoi","1","0.01","1","572","NONE"
"dbo","SKU_Vendor","1","0.01","1","387","NONE"
"dbo","STAMPTRX_New_BK_VN052019","0","0.01","1","947248","NONE"
"dbo","Version","1","0.01","1","10","NONE"
"dbo","LoaiLyDo","1","0.01","1","7","NONE"
"dbo","LoaiDongThuongHieu","1","0.01","1","59","NONE"
"dbo","LoaiKhuyenMai","1","0.01","1","13","NONE"
"dbo","CauHinh","0","0.01","1","1","NONE"
"dbo","KhuyenMai_SieuThi","1","0.01","1","77","NONE"
"dbo","ReportLog","1","0.01","1","1877","NONE"
"dbo","KhuyenMai","1","0.01","1","77","NONE"
"dbo","INVTSERV1","1","0.01","1","0","NONE"
"dbo","CapDo_HinhThuc","1","0.01","1","1","NONE"
"dbo","KhuyenMaiPOS","1","0.01","1","87","NONE"
"dbo","KyTuDinhDang","1","0.01","1","9","NONE"
"dbo","CauHinhChietKhau","1","0.01","1","13","NONE"
"dbo","TinhTP","1","0.01","1","64","NONE"
"dbo","KhuyenMai_SieuThiPOS","1","0.01","1","87","NONE"
"dbo","History_TNDSERV04","0","0.01","1","673884","NONE"
"dbo","PhieuQRCode","1","0.01","1","6","NONE"
"dbo","STAMPTRX_New_CFMTay_210319","0","0.01","1","52","NONE"
"dbo","STAMPTRX_New_Nam2018","0","0.01","1","804317","NONE"
"dbo","QuaTang","1","0.01","1","47","NONE"
"dbo","STAMPTRX","1","0.01","1","6017","NONE"
"dbo","QuanHuyen","1","0.01","1","793","NONE"
"dbo","HinhThuc","0","0.01","1","1","NONE"
"dbo","KhuVuc","1","0.01","1","15","NONE"
"dbo","STAMPTRX_New_BK_SanSao_230822","0","0.01","1","0","NONE"
"dbo","INVTSERV_658","0","0.01","1","350","NONE"
"dbo","NhomQuyen","1","0.01","1","11","NONE"
"dbo","DMQuyen","1","0.01","1","136","NONE"
"dbo","SieuThi_Group","1","0.01","1","42","NONE"
"dbo","PhuongXa","1","0.01","1","11846","NONE"
"dbo","ExceptionPOS","1","0.01","1","1448","NONE"
"dbo","CHITIET_PS","0","0.01","1","12","NONE"
"dbo","API_Log","1","0.01","1","193","NONE"
"dbo","CTPhatSinh_KhuyenMai05","2","0.01","1","11707","NONE"
"dbo","CTPhatSinh_KhuyenMai06","1","0.01","1","5","NONE"
"dbo","CTPhatSinh_KhuyenMai06","2","0.01","1","5","NONE"
"dbo","CauHinh_BK","1","0.01","1","1","NONE"
"dbo","SGC_DocumentIssue","1","0.01","1","220","NONE"
"dbo","CTPhatQua","1","0.01","1","4","NONE"
"dbo","LichSuHuyChietKhauPOS","1","0.01","1","37","NONE"
"dbo","GiftPromotion_ST","15","0.01","1","32","NONE"
"dbo","GiftPromotion_ST","16","0.01","1","32","NONE"
"dbo","A_Rebuild","0","0.01","1","15","NONE"
"dbo","NgheNghiep","1","0.01","1","12","NONE"
"dbo","ConstString1","1","0.01","1","1","NONE"
"dbo","HinhThuc_BK","1","0.01","1","1","NONE"
"dbo","NhaCungCap","1","0.01","1","2","NONE"
"dbo","CTDMQuyen","1","0.01","1","129","NONE"
"dbo","GiftPromotion_Canceled","1","0.01","1","31","NONE"
"dbo","STAMPTRX_New_BK_Bf131120","0","0.01","1","152516","NONE"
"dbo","CTPhatSinh_KhuyenMai04","2","0.01","1","24709","NONE"
"dbo","CTKhuyenMaiPOS","1","0.01","1","87","NONE"
"dbo","STAMPTRX_New_BK_Bf230228","0","0.01","1","0","NONE"
"dbo","CTPhatSinh_KhuyenMai01","1","0.01","1","7742","NONE"
"dbo","CTPhatSinh_KhuyenMai01","2","0.01","1","7742","NONE"
"dbo","NhanThuong_QuaTang","1","0.01","1","1606","NONE"
"dbo","TNDSERV0","1","0.01","1","7","NONE"
